Sample,Variants_total,Group,Low.confident_%,High.confident_%,High.confident,Low.confident
083N,284705,WT,"99,49913068","0,500869321",1426,283279
083T,365029,WT,"99,0003534","0,999646603",3649,361380
128N,187282,KO,"99,06024071","0,939759293",1760,185522
128T,402326,KO,"99,0999836","0,900016405",3621,398705
135N,237252,WT,"99,27208201","0,727917994",1727,235525
135T,164207,WT,"99,5249898","0,475010201",780,163427
147N,369623,WT,"99,74000536","0,259994643",961,368662
147T,391297,WT,"99,45897873","0,54102127",2117,389180
157N,197308,KO,"99,76027328","0,239726722",473,196835
157T,358566,KO,"99,58557142","0,414428585",1486,357080
168N,286223,KO,"99,69429431","0,305705691",875,285348
168T,155561,KO,"98,93160882","1,068391178",1662,153899
